Symbol,Sector,holidays
20MICRONS-EQ,Chemicals,22-01-2024
21STCENMGM-EQ,Investment Banking & Investment Services,26-01-2024
3IINFOTECH-EQ,NO DATA,08-03-2024
3PLAND-EQ,Investment Banking & Investment Services,25-03-2024
5PAISA-EQ,Investment Banking & Investment Services,29-03-2024
A2ZINFRA-EQ,Construction & Engineering,11-04-2024
AAKASH-EQ,Oil & Gas Related Equipment and Services,17-04-2024
AARON-EQ,"Machinery, Equipment & Components",01-05-2024
AARTIDRUGS-EQ,Pharmaceuticals,17-06-2024
AARTISURF-EQ,Chemicals,17-07-2024
AARVI-EQ,Professional & Commercial Services,15-08-2024
ACCELYA-EQ,Software & IT Services,02-10-2024
ACCURACY-EQ,Freight & Logistics Services,01-11-2024
ACRYSIL-EQ,NO DATA,15-11-2024
ADANITRANS-EQ,NO DATA,20-11-2024
ADFFOODS-EQ,Food & Tobacco,25-12-2024
ADORWELD-EQ,NO DATA,26-01-2025
ADSL-EQ,Software & IT Services,26-02-2025
ADVENZYMES-EQ,Chemicals,14-03-2025
AEGISCHEM-EQ,NO DATA,31-03-2025
AGARIND-EQ,Chemicals,06-04-2025
AGROPHOS-EQ,Chemicals,10-04-2025
AHLEAST-EQ,Hotels & Entertainment Services,14-04-2025
AHLUCONT-EQ,Construction & Engineering,18-04-2025
AHLWEST-EQ,Hotels & Entertainment Services,01-05-2025
AIRAN-EQ,Software & IT Services,07-06-2025
AJMERA-EQ,Real Estate Operations,06-07-2025
AKASH-EQ,Construction & Engineering,15-08-2025
AKSHARCHEM-EQ,Chemicals,27-08-2025
AKSHOPTFBR-EQ,Communications & Networking,02-10-2025
AKZOINDIA-EQ,NO DATA,21-10-2025
ALANKIT-EQ,Software & IT Services,22-10-2025
ALBERTDAVD-EQ,Pharmaceuticals,05-11-2025
ALEMBICLTD-EQ,Real Estate Operations,25-12-2025
ALICON-EQ,Metals & Mining,
ALKALI-EQ,Chemicals,
ALLCARGO-EQ,Freight & Logistics Services,
ALLSEC-EQ,NO DATA,
ALMONDZ-EQ,Investment Banking & Investment Services,
AMARAJABAT-EQ,NO DATA,
AMBIKCO-EQ,Textiles & Apparel,
AMDIND-EQ,Containers & Packaging,
AMJLAND-EQ,Real Estate Operations,
AMRUTANJAN-EQ,Pharmaceuticals,
ANDHRACEMT-EQ,NO DATA,
ANDHRAPAP-EQ,Paper & Forest Products,
ANDHRSUGAR-EQ,Chemicals,
ANGELBRKG-EQ,NO DATA,
ANSALHSG-EQ,NO DATA,
ANUP-EQ,"Machinery, Equipment & Components",
APCL-EQ,Construction Materials,
APCOTEXIND-EQ,Chemicals,
APEX-EQ,Food & Tobacco,
APOLLO-EQ,Aerospace & Defense,
APOLLOPIPE-EQ,Homebuilding & Construction Supplies,
APOLSINHOT-EQ,Hotels & Entertainment Services,
APTECHT-EQ,Professional & Business Education,
ARCHIES-EQ,Specialty Retailers,
ARENTERP-EQ,Professional & Commercial Services,
ARIES-EQ,Chemicals,
ARIHANT-EQ,NO DATA,
ARIHANTSUP-EQ,Real Estate Operations,
ARMANFIN-EQ,Banking Services,
AROGRANITE-EQ,Construction Materials,
ARROWGREEN-EQ,Containers & Packaging,
ARSHIYA-EQ,Freight & Logistics Services,
ARSSINFRA-EQ,Construction & Engineering,
ARVIND-EQ,Textiles & Apparel,
ARVINDFASN-EQ,Specialty Retailers,
ARVSMART-EQ,Real Estate Operations,
ASAHISONG-EQ,Chemicals,
ASAL-EQ,Automobiles & Auto Parts,
ASALCBR-EQ,Beverages,
ASHAPURMIN-EQ,Metals & Mining,
ASHIANA-EQ,Real Estate Operations,
ASHOKA-EQ,Construction & Engineering,
ASIANHOTNR-EQ,Hotels & Entertainment Services,
ASIANTILES-EQ,Homebuilding & Construction Supplies,
ASPINWALL-EQ,Freight & Logistics Services,
ASTEC-EQ,Chemicals,
ASTRAMICRO-EQ,Electronic Equipment & Parts,
ASTRON-EQ,Paper & Forest Products,
ATFL-EQ,NO DATA,
